SUBURB_NAME,LOCAL_GOVERNMENT_AREA,AVG_HEAT_CELSIUS,MIN_HEAT_CELSIUS,MAX_HEAT_CELSIUS,HEAT_STD_DEV,MESH_BLOCK_COUNT,AVG_VEGETATION_PCT,AVG_TREE_PCT,AVG_SHRUB_PCT,AVG_GRASS_PCT,AVG_SMALL_TREES_PCT,AVG_MEDIUM_TREES_PCT,AVG_LARGE_TREES_PCT,TOTAL_AREA_HECTARES,CENTROID_LONGITUDE,CENTROID_LATITUDE,SUBURB_HEAT_CATEGORY,HEAT_RANK,VEGETATION_RANK
Narre Warren South (West),Casey (C),12.48,8.19,14.69,1.55,138,38.16,8.62,7.89,21.66,7.43,0.95,0.24,677.72,145.29,-38.05,Extreme Heat,4,64
Newport,Hobsons Bay (C),7.47,-3.33,10.08,1.94,265,32.92,10.28,7.0,15.64,8.52,1.31,0.45,884.0,144.88,-37.84,Moderate Heat,187,127
Niddrie - Essendon West,Moonee Valley (C),9.74,6.92,10.91,0.65,92,30.67,9.33,7.46,13.89,7.53,1.34,0.45,280.27,144.89,-37.74,High Heat,60,166
Noble Park - East,Greater Dandenong (C),8.87,6.72,10.39,0.58,153,31.83,10.85,7.18,13.81,7.86,1.86,1.12,376.69,145.18,-37.96,High Heat,108,153
Noble Park - West,Greater Dandenong (C),9.47,7.81,11.15,0.52,204,30.3,8.13,7.37,14.79,6.71,1.0,0.43,479.45,145.17,-37.97,High Heat,73,174
Noble Park North,Greater Dandenong (C),8.55,5.84,9.97,0.65,83,34.83,9.0,7.97,17.86,7.72,1.01,0.27,375.74,145.19,-37.95,High Heat,123,102
North Melbourne,Melbourne (C),8.74,5.85,12.02,0.97,229,19.01,13.68,2.45,2.88,7.41,4.12,2.16,324.91,144.95,-37.8,High Heat,115,290
Northcote,Darebin (C),7.9,4.91,11.86,0.81,347,30.5,13.65,7.83,9.02,11.06,2.04,0.54,614.45,145.0,-37.77,Moderate Heat,162,171
Nunawading,Manningham (C),8.03,7.46,8.39,0.44,4,38.12,22.42,7.28,8.48,16.0,4.68,1.75,12.66,145.18,-37.8,High Heat,156,65
Nunawading,Whitehorse (C),7.92,5.68,11.48,0.76,145,28.32,16.27,5.71,6.33,10.86,3.53,1.88,495.12,145.18,-37.82,Moderate Heat,161,205
Oakleigh - Huntingdale,Monash (C),8.69,6.07,11.1,0.73,313,24.57,10.53,5.57,8.47,8.36,1.61,0.55,1016.95,145.1,-37.91,High Heat,118,258
Ormond - Glen Huntly,Glen Eira (C),8.98,7.25,10.96,0.67,172,24.53,12.7,5.87,5.95,10.6,1.73,0.37,293.7,145.04,-37.9,High Heat,102,259
Pakenham - North,Cardinia (S),11.67,5.69,14.42,1.68,174,30.28,7.86,6.37,16.05,5.94,1.31,0.61,3722.23,145.49,-38.06,High Heat,8,176
Pakenham - South,Cardinia (S),11.7,5.2,14.3,1.55,324,30.82,6.34,6.63,17.86,5.22,0.81,0.3,4976.05,145.47,-38.08,High Heat,7,162
Panton Hill - St Andrews,Nillumbik (S),4.55,-3.18,9.43,2.33,72,63.69,32.07,6.34,25.27,13.55,10.69,7.82,29214.15,145.26,-37.61,Moderate Heat,244,10
Parkville,Melbourne (C),8.65,6.33,10.83,0.89,89,32.21,16.84,4.82,10.56,10.48,4.56,1.81,404.86,144.95,-37.79,High Heat,119,142
Pascoe Vale,Moreland (C),9.37,7.53,10.5,0.47,283,32.88,10.56,7.99,14.33,8.13,1.81,0.62,698.32,144.93,-37.72,High Heat,79,128
Pascoe Vale South,Moreland (C),9.06,7.65,10.47,0.51,118,30.95,10.6,7.48,12.87,8.5,1.69,0.41,298.86,144.94,-37.74,High Heat,96,159
Pearcedale - Tooradin,Casey (C),7.71,2.76,13.87,2.12,95,51.28,16.97,7.97,26.34,12.33,3.43,1.21,9852.49,145.3,-38.21,Moderate Heat,175,27
Plenty - Yarrambat,Nillumbik (S),7.77,4.74,10.69,1.23,120,36.94,20.52,5.83,10.59,10.66,6.58,3.28,2911.19,145.11,-37.67,Moderate Heat,171,79
Point Cook - East,Wyndham (C),8.61,0.89,11.75,2.39,155,25.71,3.09,4.91,17.72,2.79,0.25,0.05,1903.48,144.77,-37.9,High Heat,121,240
Point Cook - North,Wyndham (C),11.03,6.92,12.22,0.89,204,23.87,5.28,6.03,12.56,5.03,0.22,0.01,849.0,144.74,-37.89,High Heat,19,265
Point Cook - South,Wyndham (C),11.1,5.04,12.25,0.95,118,19.7,2.83,4.9,11.97,2.76,0.07,0.0,942.18,144.73,-37.9,High Heat,17,289
Point Nepean,Mornington Peninsula (S),3.07,-8.6,7.18,2.52,747,40.01,22.19,9.55,8.28,19.68,2.02,0.49,6720.54,144.79,-38.37,Low Heat,250,52
Port Melbourne,Port Phillip (C),6.8,-2.81,10.11,1.32,201,23.22,11.87,4.33,7.02,9.37,2.01,0.47,278.91,144.94,-37.84,Moderate Heat,211,273
Port Melbourne Industrial,Melbourne (C),6.78,-1.9,9.65,3.15,28,10.28,3.64,1.74,4.89,2.65,0.81,0.18,498.61,144.92,-37.83,Moderate Heat,213,304
Port Melbourne Industrial,Port Phillip (C),7.76,5.76,10.28,1.42,18,21.93,7.23,2.94,11.76,5.27,1.21,0.74,188.28,144.93,-37.83,Moderate Heat,172,278
Prahran - Windsor,Stonnington (C),7.69,5.9,10.18,0.67,313,21.24,14.13,4.29,2.83,10.44,2.64,1.05,290.5,145.0,-37.85,Moderate Heat,176,280
Preston - East,Darebin (C),8.83,6.44,11.69,0.7,288,23.81,8.15,5.89,9.76,7.09,0.79,0.27,774.46,145.01,-37.74,High Heat,110,268
Preston - West,Darebin (C),8.6,6.18,10.14,0.66,151,32.09,10.55,8.44,13.1,9.34,0.97,0.23,356.74,144.99,-37.74,High Heat,122,147
Research - North Warrandyte,Nillumbik (S),4.89,1.84,8.02,1.36,89,54.59,36.29,6.75,11.55,15.89,11.7,8.7,4978.74,145.2,-37.71,Moderate Heat,238,23
Reservoir - East,Darebin (C),8.98,6.98,12.37,0.54,341,33.35,9.17,8.41,15.78,7.96,0.96,0.25,896.45,145.02,-37.72,High Heat,102,119
Reservoir - West,Darebin (C),8.76,6.34,11.98,0.68,304,33.78,8.69,8.85,16.25,7.46,0.95,0.27,1015.29,145.0,-37.71,High Heat,113,117
Richmond (Vic.),Yarra (C),8.24,3.31,11.2,1.03,545,15.9,9.07,3.7,3.13,6.85,1.62,0.59,621.19,145.0,-37.82,High Heat,143,296
Ringwood,Maroondah (C),7.52,4.76,11.01,1.08,262,26.33,15.53,4.52,6.28,9.94,3.22,2.36,990.97,145.23,-37.81,Moderate Heat,184,234
Ringwood East,Maroondah (C),6.76,4.16,8.56,0.86,247,34.84,22.6,5.46,6.78,13.29,5.42,3.89,939.23,145.25,-37.82,Moderate Heat,214,101
Ringwood North,Maroondah (C),6.45,4.13,9.21,0.93,105,37.26,24.64,5.57,7.04,12.95,6.19,5.49,473.04,145.23,-37.8,Moderate Heat,222,73
Rockbank - Mount Cottrell,Melton (C),10.25,7.97,12.58,1.14,42,24.46,2.48,2.51,19.46,2.01,0.35,0.12,12574.47,144.69,-37.76,High Heat,39,261
Rosebud - McCrae,Mornington Peninsula (S),5.2,-1.61,8.95,1.59,442,39.71,19.01,8.93,11.77,14.75,3.16,1.1,2380.16,144.9,-38.37,Moderate Heat,234,54
Rowville - Central,Knox (C),7.92,3.13,9.48,0.97,142,32.17,12.4,6.69,13.09,9.28,2.38,0.74,819.99,145.25,-37.92,Moderate Heat,161,143
Rowville - North,Knox (C),7.85,2.31,9.49,1.42,76,35.01,11.12,7.16,16.73,8.67,1.96,0.49,416.85,145.26,-37.91,Moderate Heat,165,99
Rowville - South,Knox (C),8.09,2.55,10.07,1.46,101,37.33,13.69,7.5,16.14,9.78,3.0,0.91,935.29,145.24,-37.93,High Heat,153,71
Roxburgh Park - Somerton,Hume (C),9.39,4.89,11.0,0.74,179,29.36,6.96,5.72,16.68,5.62,1.11,0.23,1228.75,144.93,-37.63,High Heat,77,190
Sandringham - Black Rock,Bayside (C),6.32,0.72,9.94,1.77,237,34.12,16.08,8.62,9.42,13.18,2.28,0.62,643.0,145.02,-37.96,Moderate Heat,224,111
Seabrook,Hobsons Bay (C),9.62,5.95,11.19,1.22,64,42.95,9.01,9.12,24.83,7.61,1.3,0.09,161.95,144.76,-37.88,High Heat,65,42
Seaford (Vic.),Frankston (C),7.78,1.93,10.9,2.02,345,37.74,13.03,9.29,15.41,11.0,1.7,0.34,1243.31,145.14,-38.11,Moderate Heat,170,68
Seddon - Kingsville,Maribyrnong (C),8.16,6.72,9.71,0.87,115,21.17,9.36,6.14,5.67,8.46,0.76,0.14,167.98,144.89,-37.81,High Heat,150,281
Skye - Sandhurst,Frankston (C),9.86,6.29,11.82,1.22,137,43.42,8.95,8.77,25.69,7.01,1.31,0.63,1981.67,145.2,-38.1,High Heat,55,40
Somerville,Mornington Peninsula (S),6.01,1.55,9.73,1.64,226,53.58,15.95,8.42,29.21,11.09,3.26,1.6,11737.38,145.17,-38.23,Moderate Heat,230,26
South Melbourne,Port Phillip (C),8.39,5.34,11.27,1.09,223,17.03,12.36,2.62,2.04,8.86,2.57,0.94,249.44,144.96,-37.83,High Heat,133,293
South Morang (North),Whittlesea (C),9.88,6.51,11.75,0.88,114,30.94,7.66,5.87,17.4,5.52,1.34,0.79,1370.71,145.08,-37.63,High Heat,53,160
South Morang (South),Whittlesea (C),9.39,4.62,11.87,1.26,130,27.21,9.27,5.75,12.18,6.61,1.78,0.89,774.29,145.09,-37.65,High Heat,77,223
South Yarra - East,Stonnington (C),7.26,3.61,9.21,0.88,309,23.67,17.13,3.81,2.73,11.92,3.73,1.48,251.7,144.99,-37.84,Moderate Heat,195,269
South Yarra - West,Melbourne (C),7.05,4.98,9.27,0.95,95,25.27,18.65,4.03,2.58,13.22,4.2,1.23,150.23,144.98,-37.84,Moderate Heat,203,251
Southbank,Melbourne (C),7.22,3.94,9.98,1.38,98,11.61,7.34,1.22,3.04,3.85,1.96,1.52,307.38,144.96,-37.83,Moderate Heat,198,300
Springvale,Greater Dandenong (C),9.27,5.44,11.31,0.76,249,31.1,7.51,6.69,16.9,6.21,0.92,0.38,1110.49,145.15,-37.95,High Heat,83,156
Springvale South,Greater Dandenong (C),9.87,7.98,10.86,0.54,124,34.22,8.75,7.55,17.92,7.14,1.14,0.47,456.0,145.15,-37.97,High Heat,54,109
St Albans - North,Brimbank (C),10.61,9.56,12.87,0.48,220,27.45,6.61,6.7,14.14,5.41,0.92,0.28,652.15,144.8,-37.74,High Heat,33,216
St Albans - South,Brimbank (C),10.95,9.77,12.88,0.58,182,29.66,5.36,6.63,17.67,4.65,0.58,0.12,626.39,144.81,-37.75,High Heat,22,187
St Kilda,Port Phillip (C),7.63,3.63,9.8,0.96,433,21.01,14.95,3.39,2.67,10.29,3.44,1.22,390.06,144.98,-37.86,Moderate Heat,179,282
St Kilda East,Port Phillip (C),8.09,6.32,9.46,0.61,258,22.27,15.01,4.51,2.74,11.03,3.14,0.84,241.34,145.0,-37.87,High Heat,153,275
Strathmore,Moonee Valley (C),9.92,7.82,12.76,0.88,123,35.69,13.17,7.83,14.69,10.1,2.38,0.7,414.39,144.91,-37.73,High Heat,50,91
Sunbury,Hume (C),8.45,5.31,9.87,0.85,138,29.7,13.66,5.74,10.29,8.66,3.55,1.45,12462.14,144.74,-37.57,High Heat,129,186
Sunbury - South,Hume (C),9.19,6.94,12.66,0.81,293,24.1,9.97,5.59,8.54,7.54,1.79,0.63,7922.77,144.71,-37.58,High Heat,90,264
Sunbury - South,Melton (C),10.22,8.88,12.29,0.8,36,25.44,5.67,4.54,15.23,4.66,0.68,0.33,5188.23,144.71,-37.62,High Heat,41,244
Sunshine,Brimbank (C),10.09,7.92,13.04,0.87,135,30.13,9.06,6.29,14.79,7.42,1.27,0.36,473.18,144.83,-37.79,High Heat,43,179
Sunshine North,Brimbank (C),10.63,7.01,12.35,0.73,183,26.7,4.98,5.63,16.09,4.17,0.58,0.23,802.26,144.84,-37.76,High Heat,32,228
Sunshine West,Brimbank (C),10.23,4.37,11.85,1.08,207,32.84,6.7,7.02,19.12,5.6,0.87,0.22,1296.71,144.81,-37.8,High Heat,40,129
Surrey Hills (East) - Mont Albert,Whitehorse (C),7.58,6.05,9.95,0.59,119,33.25,21.44,6.47,5.34,15.43,4.54,1.48,332.75,145.11,-37.82,Moderate Heat,182,121
Surrey Hills (West) - Canterbury,Boroondara (C),6.85,5.01,8.58,0.63,221,32.6,22.4,5.57,4.63,14.89,5.5,2.02,570.2,145.08,-37.82,Moderate Heat,210,135
Sydenham,Brimbank (C),11.57,10.95,12.82,0.43,122,22.06,5.55,5.47,11.04,4.99,0.49,0.06,394.73,144.76,-37.7,High Heat,9,276
Tarneit,Wyndham (C),8.87,5.82,11.63,0.84,293,20.17,3.32,4.65,12.21,3.12,0.18,0.02,6213.61,144.67,-37.85,High Heat,108,287
Taylors Hill,Melton (C),10.8,7.66,12.62,1.1,160,23.62,4.95,5.3,13.37,4.62,0.28,0.05,596.68,144.75,-37.71,High Heat,28,271
Taylors Lakes,Brimbank (C),10.75,6.6,14.02,0.69,182,30.43,7.25,6.57,16.61,6.21,0.86,0.18,1846.01,144.79,-37.7,High Heat,30,172
Templestowe,Manningham (C),8.32,5.38,10.55,0.89,188,39.08,18.73,7.89,12.46,12.25,3.9,2.6,1611.49,145.15,-37.76,High Heat,139,56
Templestowe Lower,Manningham (C),8.9,5.18,10.39,0.68,151,30.78,15.73,7.73,7.33,11.67,2.54,1.51,593.81,145.11,-37.77,High Heat,107,164
The Basin,Knox (C),4.36,0.43,6.59,1.71,47,54.97,35.53,7.38,12.07,14.25,7.58,13.7,571.56,145.31,-37.86,Moderate Heat,246,21
Thomastown,Whittlesea (C),9.25,4.94,12.23,0.73,279,28.46,5.31,6.76,16.39,4.56,0.6,0.15,1468.17,145.01,-37.68,High Heat,85,202
Thornbury,Darebin (C),8.41,5.55,10.34,0.61,264,28.66,11.12,7.79,9.75,9.46,1.25,0.4,499.62,145.0,-37.76,High Heat,131,201
Toorak,Stonnington (C),6.92,4.56,8.52,0.69,210,31.97,22.85,5.17,3.95,16.18,4.7,1.97,432.29,145.01,-37.84,Moderate Heat,208,150
Truganina,Wyndham (C),11.44,7.71,12.71,0.99,209,22.97,2.37,4.33,16.26,2.23,0.11,0.03,2716.23,144.73,-37.85,High Heat,12,274
Tullamarine,Hume (C),9.89,7.7,11.35,0.69,94,27.34,7.0,6.21,14.14,5.58,0.95,0.46,385.91,144.88,-37.7,High Heat,52,220
Upwey - Tecoma,Yarra Ranges (S),4.56,-0.34,8.8,1.8,106,60.45,44.18,7.18,9.09,15.13,8.44,20.61,889.03,145.33,-37.91,Moderate Heat,243,15
Vermont,Maroondah (C),7.39,5.14,9.57,1.45,6,42.82,19.5,8.42,14.87,13.53,3.82,2.12,22.25,145.21,-37.84,Moderate Heat,191,44
Vermont,Whitehorse (C),7.63,4.1,9.45,0.91,111,36.19,19.64,7.47,9.07,13.11,4.11,2.42,438.68,145.2,-37.84,Moderate Heat,179,87
Vermont South,Whitehorse (C),8.2,3.19,12.25,1.3,123,36.79,17.04,7.96,11.79,11.39,3.63,2.02,618.37,145.19,-37.85,High Heat,146,83
Viewbank - Yallambie,Banyule (C),8.61,4.47,10.17,0.85,219,33.92,17.52,7.27,9.12,11.72,3.71,2.09,1023.67,145.09,-37.73,High Heat,121,115
Wallan,Mitchell (S),6.13,1.38,8.42,1.34,158,34.94,9.61,4.95,20.38,6.15,2.39,1.07,17558.64,144.98,-37.41,Moderate Heat,228,100
Wandin - Seville,Yarra Ranges (S),6.28,2.8,9.18,1.38,76,54.74,24.32,7.0,23.42,10.71,5.51,8.09,11174.13,145.45,-37.78,Moderate Heat,225,22
Wantirna,Knox (C),8.03,4.39,10.41,0.92,145,31.61,15.21,5.63,10.77,9.9,3.53,1.77,830.57,145.23,-37.85,High Heat,156,154
Wantirna South,Knox (C),8.25,4.22,9.7,0.85,177,30.15,13.01,5.99,11.16,9.35,2.67,0.99,1335.47,145.23,-37.87,High Heat,142,178
Warrandyte - Wonga Park,Manningham (C),5.13,1.53,8.48,1.26,134,57.42,34.28,7.36,15.77,15.23,11.1,7.95,4390.62,145.23,-37.75,Moderate Heat,236,17
Warrandyte - Wonga Park,Yarra Ranges (S),5.55,3.67,7.92,1.89,4,66.6,21.78,7.52,37.22,12.3,5.18,4.32,184.66,145.29,-37.76,Moderate Heat,233,7
Watsonia,Banyule (C),9.02,7.34,10.85,0.51,108,29.04,14.22,6.54,8.28,10.57,2.67,1.0,378.49,145.08,-37.71,High Heat,98,195
Wattle Glen - Diamond Creek,Nillumbik (S),7.45,2.79,10.1,1.31,152,41.21,23.27,7.23,10.72,12.39,6.84,4.03,2681.98,145.16,-37.67,Moderate Heat,188,48
Werribee - East,Wyndham (C),7.63,3.89,8.72,0.65,213,30.05,8.33,6.69,15.04,6.93,1.09,0.3,775.65,144.66,-37.89,Moderate Heat,179,180
Werribee - South,Wyndham (C),6.9,-0.53,11.77,1.83,184,35.08,9.45,5.99,19.63,6.95,1.82,0.67,11402.98,144.67,-37.92,Moderate Heat,209,97
Werribee - West,Wyndham (C),8.07,3.72,9.63,0.98,139,34.63,9.36,6.62,18.64,7.41,1.41,0.52,5989.36,144.64,-37.9,High Heat,154,103
West Footscray - Tottenham,Maribyrnong (C),9.66,7.42,12.06,0.77,154,27.51,8.69,6.84,11.98,7.75,0.75,0.18,598.01,144.87,-37.8,High Heat,63,214
West Melbourne,Melbourne (C),7.24,-1.77,11.64,4.68,14,5.5,2.11,0.91,2.49,1.4,0.58,0.14,619.86,144.92,-37.81,Moderate Heat,196,307
Wheelers Hill,Monash (C),8.25,4.11,10.73,0.69,203,36.81,15.91,8.44,12.46,11.57,2.91,1.42,1043.86,145.18,-37.91,High Heat,142,82
Whittlesea,Whittlesea (C),7.93,-3.73,10.84,2.15,110,38.64,12.62,5.56,20.45,7.77,2.95,1.91,22016.33,145.11,-37.51,Moderate Heat,160,60
Williamstown,Hobsons Bay (C),6.16,2.73,9.25,1.17,264,32.29,9.86,6.05,16.36,8.18,1.43,0.26,734.6,144.89,-37.86,Moderate Heat,227,140
Wollert,Whittlesea (C),10.0,7.81,11.11,0.64,92,16.22,1.89,2.85,11.48,1.49,0.32,0.07,5388.11,145.02,-37.61,High Heat,47,295
Wyndham Vale,Wyndham (C),8.94,6.55,10.84,0.81,230,23.86,4.9,5.34,13.62,4.43,0.33,0.14,7113.1,144.61,-37.88,High Heat,105,266
Yarra - North,Yarra (C),7.81,2.18,10.23,1.46,147,31.86,16.33,6.53,9.0,11.34,3.13,1.86,520.84,145.01,-37.79,Moderate Heat,168,152
Yarra Valley,Yarra Ranges (S),3.6,-4.69,10.09,3.02,241,61.08,34.95,6.71,19.42,12.8,6.96,15.18,33380.98,145.63,-37.78,Low Heat,249,12
Yarraville,Maribyrnong (C),8.4,6.51,10.42,0.87,203,30.24,10.75,7.42,12.07,9.34,1.11,0.31,561.93,144.88,-37.82,High Heat,132,177
